Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Founding Demand Generation Lead,Alloy River,"Toronto, Ontario, Canada",2026-08-21,https://wellfound.com/jobs/4618120-founding-demand-generation-lead,https://alloyriver.com,Actively Hiring,"Salary: CAD 200000.0 - 350000.0 | Role: Founding Demand Generation Lead | Company: Alloy River | Location: Toronto, Ontario, Canada",Wellfound,https://alloyriver.com,https://wellfound.com/jobs/4618120-founding-demand-generation-lead
Sales Development Representative (SDR),Weborbitlab,India,2026-09-10,https://wellfound.com/jobs/4697944-sales-development-representative-sdr,https://weborbitlab.com,Actively Hiring,Salary: USD 20000.0 - 100000.0 | Role: Sales Development Representative (SDR) | Company: Weborbitlab | Location: India,Wellfound,https://weborbitlab.com,https://wellfound.com/jobs/4697944-sales-development-representative-sdr
Business Development Representative,CRUV,"Bengaluru, Karnataka, India",2026-08-19,https://wellfound.com/jobs/4607062-business-development-representative,https://cruv.org/,Actively Hiring,"Salary: INR 66000.0 - 100000.0 | Role: Business Development Representative | Company: CRUV | Location: Bengaluru, Karnataka, India",Wellfound,https://cruv.org/,https://wellfound.com/jobs/4607062-business-development-representative
Business Development Executive,TechUp Labs,"Surat, Gujarat, India",2026-08-25,https://wellfound.com/jobs/4607121-business-development-executive,http://techuplabs.com,Actively Hiring,"Salary: INR 400000.0 - 1800000.0 | Role: Business Development Executive | Company: TechUp Labs | Location: Surat, Gujarat, India",Wellfound,http://techuplabs.com,https://wellfound.com/jobs/4607121-business-development-executive
Co-founder – Sales & Business Development,CodeProbe,"Bengaluru, Karnataka, India",2026-08-24,https://wellfound.com/jobs/4627386-co-founder-sales-business-development,https://www.codeprobe.in,Actively Hiring,"Salary: INR 120000.0 - 120000.0 | Role: Co-founder – Sales & Business Development | Company: CodeProbe | Location: Bengaluru, Karnataka, India",Wellfound,https://www.codeprobe.in,https://wellfound.com/jobs/4627386-co-founder-sales-business-development
Lead Generation Executive,Antier Solutions,"Sahibzada Ajit Singh Nagar, Punjab, India",2026-09-15,https://wellfound.com/jobs/4718554-lead-generation-executive,https://www.antiersolutions.com/,Actively Hiring,"Role: Lead Generation Executive | Company: Antier Solutions | Location: Sahibzada Ajit Singh Nagar, Punjab, India",Wellfound,https://www.antiersolutions.com/,https://wellfound.com/jobs/4718554-lead-generation-executive
LinkedIn Lead Generation Intern,Budhana Tech,"Pune, Maharashtra, India",2026-08-25,https://wellfound.com/jobs/4628491-linkedin-lead-generation-intern,https://www.budhanatech.com/,Actively Hiring,"Salary: INR 60000.0 - 60000.0 | Role: LinkedIn Lead Generation Intern | Company: Budhana Tech | Location: Pune, Maharashtra, India",Wellfound,https://www.budhanatech.com/,https://wellfound.com/jobs/4628491-linkedin-lead-generation-intern
Business Development and Sales Manager,VoiceQube,"Delhi, India / Pune, Maharashtra, India / Hyderabad, Telangana, India / Mumbai, Maharashtra, India / Kota, Rajasthan, India / Karnataka, India / Tamil Nadu, India",2026-09-09,https://wellfound.com/jobs/4692262-business-development-and-sales-manager,https://www.voiceqube.com,Actively Hiring,"Salary: INR 1200000.0 - 8800000.0 | Role: Business Development and Sales Manager | Company: VoiceQube | Location: Delhi, India / Pune, Maharashtra, India / Hyderabad, Telangana, India / Mumbai, Maharashtra, India / Kota, Rajasthan, India / Karnataka, India / Tamil Nadu, India",Wellfound,https://www.voiceqube.com,https://wellfound.com/jobs/4692262-business-development-and-sales-manager
Business Development Specialist,Kredily,"Bengaluru, Karnataka, India",2026-08-05,https://wellfound.com/jobs/4550814-business-development-specialist,https://kredily.com,Actively Hiring,"Salary: INR 400000.0 - 600000.0 | Role: Business Development Specialist | Company: Kredily | Location: Bengaluru, Karnataka, India",Wellfound,https://kredily.com,https://wellfound.com/jobs/4550814-business-development-specialist
Business Development Manager – B2B SaaS (India Market),Samaaro,"Bengaluru, Karnataka, India",2026-06-19,https://wellfound.com/jobs/4365521-business-development-manager-b2b-saas-india-market,https://samaaro.com,Actively Hiring,"Role: Business Development Manager – B2B SaaS (India Market) | Company: Samaaro | Location: Bengaluru, Karnataka, India",Wellfound,https://samaaro.com,https://wellfound.com/jobs/4365521-business-development-manager-b2b-saas-india-market
Business Development Executive,ServiceHive,"New Delhi, Delhi, India",2026-09-03,https://wellfound.com/jobs/4238488-business-development-executive,https://servicehive.tech,Actively Hiring,"Salary: INR 200000.0 - 300000.0 | Role: Business Development Executive | Company: ServiceHive | Location: New Delhi, Delhi, India",Wellfound,https://servicehive.tech,https://wellfound.com/jobs/4238488-business-development-executive
Lead Generation & Growth Marketer,Askria,"Dubai, United Arab Emirates / San Francisco, California, United States / England, United Kingdom / Karnataka, India",2026-07-24,https://wellfound.com/jobs/3330371-internship-lead-gen-growth-partnerships-manager-founders-investors,https://www.askria.ai/,Actively Hiring,"Salary: USD 12000.0 - 25000.0 | Role: Lead Generation & Growth Marketer | Company: Askria | Location: Dubai, United Arab Emirates / San Francisco, California, United States / England, United Kingdom / Karnataka, India",Wellfound,https://www.askria.ai/,https://wellfound.com/jobs/3330371-internship-lead-gen-growth-partnerships-manager-founders-investors
Business Development Executive – LinkedIn / LinkedIn Lead Generation,DevOptiv,"Sahibzada Ajit Singh Nagar, Punjab, India",2026-08-24,https://wellfound.com/jobs/4627285-business-development-executive-linkedin-linkedin-lead-generation,https://devoptiv.com,Actively Hiring,"Salary: INR 15000.0 - 25000.0 | Role: Business Development Executive – LinkedIn / LinkedIn Lead Generation | Company: DevOptiv | Location: Sahibzada Ajit Singh Nagar, Punjab, India",Wellfound,https://devoptiv.com,https://wellfound.com/jobs/4627285-business-development-executive-linkedin-linkedin-lead-generation
LinkedIn Outreach & Lead Generation Specialist(Part-Time),Infinite Possibilities,"New Delhi, Delhi, India",2026-07-23,https://wellfound.com/jobs/4505555-linkedin-outreach-lead-generation-specialist-part-time,https://www.infinitepossibilities.ai,Actively Hiring,"Role: LinkedIn Outreach & Lead Generation Specialist(Part-Time) | Company: Infinite Possibilities | Location: New Delhi, Delhi, India",Wellfound,https://www.infinitepossibilities.ai,https://wellfound.com/jobs/4505555-linkedin-outreach-lead-generation-specialist-part-time
