Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Trading Data & AI Analyst,Janus Henderson,"London, England, United Kingdom",2026-06-15,https://jobs.workable.com/view/1ZYcJPU2Z9ZswQ2PTRKgoA/trading-data-%26-ai-analyst-in-london-at-janus-henderson,https://www.lgbtgreatcareers.com/company/64e7a254f6bf98db7c30e267/jobs-at-janus-henderson,N/A,"Workplace: On_site | Type: N/A | Why work for us? A career at Janus Henderson is more than a job, it’s about investing in a brighter future together. Our Mission at Janus Henderson is to help clients define and achieve superior financial outcomes through differentiated insights, disciplined investments, and world-class service. We ",Workable
Analytics / Data Engineer,Prop Firm Match Global – FZCO,"TELECOMMUTE, United Kingdom",2026-06-08,https://jobs.workable.com/view/oRBGFbtvoH753H84QPtB1a/remote-analytics-%2F-data-engineer-in-united-kingdom-at-prop-firm-match-global-%E2%80%93-fzco,https://jobs.workable.com/company/rXSyKjJFgTwZ2pBNS7QW1t/jobs-at-prop-firm-match-global-%E2%80%93-fzco,N/A,"Workplace: Remote | Type: Full-time | Prop Firm Match Global FZCO is a leading platform for discovering, comparing, and selecting top proprietary trading firms. We provide traders with tools and features to easily compare challenge details, read verified reviews, see accurate payout data, and much more. We're a fast-moving, fully remote",Workable
Data Analyst (FinCrime Focus - Contract) Remote,Capitex,"London, England, United Kingdom",2025-11-06,https://jobs.workable.com/view/ejSseVCdUYe1M9787UZX7M/data-analyst-(fincrime-focus---contract)-remote-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,"Workplace: On_site | Type: N/A | Assignment Overview We are seeking an experienced Data Analyst to support ongoing Financial Crime (FinCrime) data initiatives on a short-term contract basis . The role focuses on data analysis, SQL querying, and Excel-based reporting , ideally within a financial crime or compliance context. This is ",Workable
Fraud Data Analyst (Banking) - 6-Month Contract,Capitex,"London, England, United Kingdom",2026-08-19,https://jobs.workable.com/view/4gR1hGzhyfctAUxQMo72t9/hybrid-fraud-data-analyst-(banking)---6-month-contract-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,Workplace: Hybrid | Type: Contract | About the engagement Capitex is a specialist Financial Crime Compliance talent provider. We are hiring a Fraud Data Analyst for a 6-month contract supporting the 24/7 fraud operation of a leading international banking client. The shape of the engagement: the first phase is delivered fully remote fro,Workable
Senior Compliance Analyst - Control Room & Data,G MASS,"London, England, United Kingdom",2026-07-30,https://jobs.workable.com/view/9wUQiVRLzB7ASS6FWSrqya/senior-compliance-analyst---control-room-%26-data-in-london-at-g-mass,https://jobs.workable.com/company/91YsMDGMxxHFRTgqyt1Uj9/jobs-at-g-mass,N/A,"Workplace: On_site | Type: Contract | G MASS Consulting are partnered with a leading Hedge Fund, as they seek a Compliance professional to join its global Compliance function in London. This role is ideal for a compliance professional who combines process knowledge with genuine data fluency. The role has a combination of BAU Control Roo",Workable
Fraud Data Analyst (Banking) - Remote then Onsite Kuwait,Capitex,"London, England, United Kingdom",2026-07-27,https://jobs.workable.com/view/vuwBf1B7im4EVXW85bnuNj/fraud-data-analyst-(banking)---remote-then-onsite-kuwait-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,Workplace: Hybrid | Type: Contract | ABOUT THE ENGAGEMENT Capitex is a specialist Financial Crime Compliance talent provider. We are building a fraud operations team for a 6-month staffing engagement with a leading Kuwaiti bank's 24/7 digital fraud operations function. This is a 6-month consultancy engagement with a defined delivery mo,Workable
Fraud Data Analyst (Banking) - Remote then Onsite Kuwait,Capitex,"London, England, United Kingdom",2026-07-27,https://jobs.workable.com/view/uK7P22LMqTGkUTim8nBnnK/fraud-data-analyst-(banking)---remote-then-onsite-kuwait-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,Workplace: Hybrid | Type: Contract | ABOUT THE ENGAGEMENT Capitex is a specialist Financial Crime Compliance talent provider. We are building a fraud operations team for a 6-month staffing engagement with a leading Kuwaiti bank's 24/7 digital fraud operations function. This is a 6-month consultancy engagement with a defined delivery mo,Workable
System Data Analytics Specialist (Fraud / Callsign Optimization),Capitex,"TELECOMMUTE, London, England, United Kingdom",2025-10-13,https://jobs.workable.com/view/2kD4LuMSaZJc2DTY9Sn9pj/remote-system-data-analytics-specialist-(fraud-%2F-callsign-optimization)-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,Workplace: Remote | Type: Contract | Job Title: System Data Analytics Specialist (Fraud / Callsign Optimization) Location: Remote (Global) Contract Duration: 6 months (with possible extension) Client: Leading Saudi Arabian Bank Type: Contract / Consultant About the Role We are seeking a System Data Analytics Specialist with deep techni,Workable
Fenergo CLM Data Analyst / Migration Specialist,Capitex,"London, England, United Kingdom",2026-06-29,https://jobs.workable.com/view/fKqDWrrZa21TyX4kcq8mFf/hybrid-fenergo-clm-data-analyst-%2F-migration-specialist-in-london-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,"Workplace: Hybrid | Type: N/A | PROGRAMME CONTEXT Capitex is sourcing specialist resource into the Data workstream of a live Fenergo (Fenx) CLM implementation. The programme is delivering client lifecycle management, KYC/CDD and onboarding capability for a regulated financial institution, with the Data workstream responsible for m",Workable
Margin Data & Reconciliation Analyst,G MASS,"London, England, United Kingdom",2026-07-03,https://jobs.workable.com/view/7emqhXGqyoTPc6EE1WpyWt/hybrid-margin-data-%26-reconciliation-analyst-in-london-at-g-mass,https://jobs.workable.com/company/91YsMDGMxxHFRTgqyt1Uj9/jobs-at-g-mass,N/A,"Workplace: Hybrid | Type: Contract | G MASS are partnering with a leading hedge fund to appoint a Margin Data & Reconciliation Analyst on an initial 6-month contract, based in London. Sitting within a Strategic Solutions function, this role is central to building out the firm's broker data handling capabilities, with responsibility for",Workable
UK - Financial Crime Data Analyst (SQL & Large data sets),Capitex,"TELECOMMUTE, United Kingdom",2025-06-11,https://jobs.workable.com/view/x2XcagjA2GvxV5qpbngJmP/remote-uk---financial-crime-data-analyst-(sql-%26-large-data-sets)-in-united-kingdom-at-capitex,https://jobs.workable.com/company/fyTvohmgE6kgzHevx5YsFc/jobs-at-capitex,N/A,Workplace: Remote | Type: Contract | Job Title: Financial Crime Data Analyst (SQL & Large Data Sets) Location: Remote (UK-based) Job Type: Full-Time / Contract About the Role: We are seeking a highly skilled Financial Crime Data Analyst with a strong command of SQL and experience working with large and complex data sets. The ideal cand,Workable
Senior Consultant / Consultant - Geospatial and Data Analytics,Steer,"Hemel Hempstead, England, United Kingdom",2026-07-28,https://jobs.workable.com/view/8wDHS58FDKNtipo3EGB9sS/hybrid-senior-consultant-%2F-consultant---geospatial-and-data-analytics-in-hemel-hempstead-at-steer,https://jobs.workable.com/company/9iiVNDzSVC9Dv59Y11fW5C/jobs-at-steer,N/A,"Workplace: Hybrid | Type: Full-time | About the role Data and analytics are transforming how transport systems are planned, managed and operated. Our Geospatial and Data Analytics team helps clients make better decisions by combining spatial analysis, data science and compelling visualisation to answer complex questions. We work across ",Workable
Senior Consultant / Consultant - Geospatial and Data Analytics,Steer,"Leeds, England, United Kingdom",2026-07-28,https://jobs.workable.com/view/rvbndNRTm36KyFrVzYaESc/hybrid-senior-consultant-%2F-consultant---geospatial-and-data-analytics-in-leeds-at-steer,https://jobs.workable.com/company/9iiVNDzSVC9Dv59Y11fW5C/jobs-at-steer,N/A,"Workplace: Hybrid | Type: Full-time | About the role Data and analytics are transforming how transport systems are planned, managed and operated. Our Geospatial and Data Analytics team helps clients make better decisions by combining spatial analysis, data science and compelling visualisation to answer complex questions. We work across ",Workable
Senior Consultant / Consultant - Geospatial and Data Analytics,Steer,"Birmingham, England, United Kingdom",2026-07-28,https://jobs.workable.com/view/meYwPmMmZ2VgGwbyJobjkN/hybrid-senior-consultant-%2F-consultant---geospatial-and-data-analytics-in-birmingham-at-steer,https://jobs.workable.com/company/9iiVNDzSVC9Dv59Y11fW5C/jobs-at-steer,N/A,"Workplace: Hybrid | Type: Full-time | About the role Data and analytics are transforming how transport systems are planned, managed and operated. Our Geospatial and Data Analytics team helps clients make better decisions by combining spatial analysis, data science and compelling visualisation to answer complex questions. We work across ",Workable
Senior Consultant / Consultant - Geospatial and Data Analytics,Steer,"Manchester, England, United Kingdom",2026-07-28,https://jobs.workable.com/view/vBM9pRd2FrnyNGi9yCDjYL/hybrid-senior-consultant-%2F-consultant---geospatial-and-data-analytics-in-manchester-at-steer,https://jobs.workable.com/company/9iiVNDzSVC9Dv59Y11fW5C/jobs-at-steer,N/A,"Workplace: Hybrid | Type: Full-time | About the role Data and analytics are transforming how transport systems are planned, managed and operated. Our Geospatial and Data Analytics team helps clients make better decisions by combining spatial analysis, data science and compelling visualisation to answer complex questions. We work across ",Workable
Senior Consultant / Consultant - Geospatial and Data Analytics,Steer,"London, England, United Kingdom",2026-07-28,https://jobs.workable.com/view/4FfHw13A8wDAEy87zJkJNR/hybrid-senior-consultant-%2F-consultant---geospatial-and-data-analytics-in-london-at-steer,https://jobs.workable.com/company/9iiVNDzSVC9Dv59Y11fW5C/jobs-at-steer,N/A,"Workplace: Hybrid | Type: Full-time | About the role Data and analytics are transforming how transport systems are planned, managed and operated. Our Geospatial and Data Analytics team helps clients make better decisions by combining spatial analysis, data science and compelling visualisation to answer complex questions. We work across ",Workable
Director of Data & Analytics,Hack The Box,"London, England, United Kingdom",2026-06-19,https://jobs.workable.com/view/mYLjceLTcgeFqZyoETPDfg/hybrid-director-of-data-%26-analytics-in-london-at-hack-the-box,https://jobs.workable.com/company/dxeuk5e6ed8jcBSUKSkX58/jobs-at-hack-the-box,N/A,"Workplace: Hybrid | Type: Full-time | ✨The core mission of the Director of Data & Analytics: Hack The Box is on a mission to redefine cybersecurity readiness for the AI era — and data is the engine room of that mission. As Director of Data & Analytics, you will own the execution of HTB's data platform and analytics strategy: a GCP-nativ",Workable
Senior Data Scientist (FP&A) (Full-time),G MASS,"London, England, United Kingdom",2026-08-20,https://jobs.workable.com/view/ohwcvv6goDbYCPkPZrzzme/hybrid-senior-data-scientist-(fp%26a)-(full-time)-in-london-at-g-mass,https://jobs.workable.com/company/91YsMDGMxxHFRTgqyt1Uj9/jobs-at-g-mass,N/A,"Workplace: Hybrid | Type: Contract | ace has partnered with a prestigious, leading international fund and corporate services organisation to appoint an experienced Senior Data Scientist who will provide senior advisory and technical guidance across a foundational data programme, at the point where the structural decisions are being mad",Workable
Fractional Data Science Lead (FP&A) (2-3 days per week),G MASS,"London, England, United Kingdom",2026-08-20,https://jobs.workable.com/view/478q4C9FyKP1WxkZ9Fcn3i/hybrid-fractional-data-science-lead-(fp%26a)-(2-3-days-per-week)-in-london-at-g-mass,https://jobs.workable.com/company/91YsMDGMxxHFRTgqyt1Uj9/jobs-at-g-mass,N/A,"Workplace: Hybrid | Type: Contract | ace has partnered with a prestigious, leading international fund and corporate services organisation to appoint an experienced Data Science Lead who will provide senior advisory and technical guidance across a foundational data programme, at the point where the structural decisions are being made. O",Workable
