Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Business Development Associate,Leverage Ed-Tech Private Limited,Noida,2026-09-12,https://apna.co/job/noida/business-development-associate-918982928,https://www.leverageed.com,,"Company: Leverage Ed-Tech Private Limited | Location: Noida | Salary: ₹29,000 - ₹33,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/sales-development-representative-mumbai-1654090522,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Quirksmith Lifestyle,"Kaikondrahalli, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-associate-760818462,N/A,,"Company: Quirksmith Lifestyle | Location: Kaikondrahalli, Bengaluru/Bangalore | Salary: ₹18,000 - ₹20,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-1304742204,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Leverage Edu,"Sector 126, Noida",2026-09-12,https://apna.co/job/noida/business-development-associate-836390352,https://www.leverageedu.com,,"Company: Leverage Edu | Location: Sector 126, Noida | Salary: ₹25,000 - ₹40,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Sales Development Representative Analyst,Accenture India Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-rep-analyst-1047225195,https://www.accenture.com,,"Company: Accenture India Private Limited | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Business Development Associate,Axis Bank Pvt Ltd,"Hadapsar, Pune",2026-09-12,https://apna.co/job/pune/business-development-associate-606657865,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Hadapsar, Pune | Salary: ₹16,000 - ₹19,000 | Tags: Field Job, Full Time, Freshers only, Basic English",Apna
International Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/sales-development-representative-international-sal-1620153422,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Uprooting Talent Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-associate-948403804,N/A,,"Company: Uprooting Talent Private Limited | Location: Bengaluru/Bangalore | Salary: ₹33,333 - ₹41,667 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Representative,Salesforce.com India Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/business-development-representative-1161251514,https://www.salesforce.com,,"Company: Salesforce.com India Pvt Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Business Development Associate,Leverage Edu,Noida,2026-09-12,https://apna.co/job/noida/business-development-associate-449868399,https://www.leverageedu.com,,"Company: Leverage Edu | Location: Noida | Salary: ₹29,000 - ₹33,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Associate,Urban Company,"Vikhroli East, Mumbai/Bombay",2026-09-12,https://apna.co/job/mumbai-bombay/business-development-associate-782348294,https://www.urbancompany.com,,"Company: Urban Company | Location: Vikhroli East, Mumbai/Bombay | Salary: ₹25,000 - ₹28,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Senior Business Development Representative,Hevo Technologies India Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/senior-bdr-north-america-market-1668005553,https://www.hevo.com,,"Company: Hevo Technologies India Private Limited | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Sales Representative,3M India Limited,Chennai,2026-09-12,https://apna.co/job/chennai/sales-rep-1688598896,N/A,,"Company: 3M India Limited | Location: Chennai | Salary: Not disclosed | Tags: Work from Office, Full Time, Freshers only",Apna
Industrial Sales Representative - Lubricants,ExxonMobil,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-representative-chennai-1409314706,https://www.exxonmobil.com,,"Company: ExxonMobil | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 7 years",Apna
Business Development Executive,Axis Bank Pvt Ltd,"Model Town, Ludhiana",2026-09-12,https://apna.co/job/ludhiana/business-development-executive-155064169,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Model Town, Ludhiana | Salary: ₹15,000 - ₹18,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Representative,India Medtronic Pvt. Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-representative-i-1707632128,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Smartgoal Research,"Vijay Nagar, Indore",2026-09-12,https://apna.co/job/indore/business-development-executive-972992668,https://www.smartgoalresearch.com,,"Company: Smartgoal Research | Location: Vijay Nagar, Indore | Salary: ₹13,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Representative,India Medtronic Pvt. Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/sales-representative-ii-1670460901,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Nazakat,"Patparganj, New Delhi",2026-09-12,https://apna.co/job/new-delhi/business-development-executive-695741996,https://www.nazakat.com,,"Company: Nazakat | Location: Patparganj, New Delhi | Salary: ₹7,000 - ₹10,000 | Tags: Work from Office, Part Time, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Medical Device Sales Representative,India Medtronic Pvt. Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-representative-ii-energy-based-devices-1501503989,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Sales Representative - Energy Based Medical Devices,India Medtronic Pvt. Ltd,Kolkata/Calcutta,2026-09-12,https://apna.co/job/kolkata/sales-exective-energy-based-device-1710226007,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Kolkata/Calcutta | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Equitas Small Finance Bank,Jalna,2026-09-12,https://apna.co/job/jalna/business-development-executive-ucv-1141737411,https://www.equitassmallfinancebank.com,,"Company: Equitas Small Finance Bank | Location: Jalna | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Executive,Muthoot Fincorp Limited,Kalavad,2026-09-12,https://apna.co/job/kalavad/business-development-executive-1709750072,https://www.muthootfincorp.com,,"Company: Muthoot Fincorp Limited | Location: Kalavad | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Representative,Wolters Kluwer,Pune,2026-09-12,https://apna.co/job/pune/sales-representative-1765881214,N/A,,"Company: Wolters Kluwer | Location: Pune | Salary: Not disclosed | Tags: Work from Office, Full Time, Freshers only",Apna
Business Development Executive,Ambicaa Sales Corpn,Chennai,2026-09-12,https://apna.co/job/chennai/business-development-executive-580829830,N/A,,"Company: Ambicaa Sales Corpn | Location: Chennai | Salary: ₹23,000 - ₹30,000 | Tags: Field Job, Full Time, Min. 6 months, Basic English",Apna
Sales Representative,India Medtronic Pvt. Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-representative-ii-1462874932,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Madhavbaug Ayurvedic Cardiac Hospital,"Lok Dhara, Kalyan",2026-09-12,https://apna.co/job/kalyan/business-development-executive-694385650,N/A,,"Company: Madhavbaug Ayurvedic Cardiac Hospital | Location: Lok Dhara, Kalyan | Salary: ₹8,000 - ₹10,000 | Tags: Work from Office, Part Time, Any experience, Basic English",Apna
Sales Representative - Medical Devices,India Medtronic Pvt. Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-representative-ii-endo-mechanical-intelligen-1968419258,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Representative,Adobe Systems India Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/business-development-representative-1997849219,https://www.adobe.com,,"Company: Adobe Systems India Pvt Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Sarvam Setu,"Rajaji Nagar, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-51514067,https://www.sarvamsetu.com,,"Company: Sarvam Setu | Location: Rajaji Nagar, Bengaluru/Bangalore | Salary: ₹20,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Representative,India Medtronic Pvt. Ltd,Ahmedabad,2026-09-12,https://apna.co/job/ahmedabad/territory-manager-endo-mechanical-intelligent-devi-1907312408,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Ahmedabad | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Softronex (Opc) Private Limited,"Sector 4, Noida",2026-09-12,https://apna.co/job/noida/business-development-executive-407006563,N/A,,"Company: Softronex (Opc) Private Limited | Location: Sector 4, Noida | Salary: ₹15,000 - ₹25,000 | Tags: Work from Office, Full Time, Min. 1 year, Basic English",Apna
Remote Sales Representative,India Medtronic Pvt. Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/remote-sales-representative-i-1817626614,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Hdfc Life Insurance Company Limited,"Bhawanipur, Kolkata/Calcutta",2026-09-12,https://apna.co/job/kolkata-calcutta/business-development-executive-450075573,N/A,,"Company: Hdfc Life Insurance Company Limited | Location: Bhawanipur, Kolkata/Calcutta | Salary: ₹22,000 - ₹40,000 | Tags: Work from Office, Part Time, Full Time, Any experience, Basic English",Apna
Medical Device Sales Representative,India Medtronic Pvt. Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-representative-ii-1567386404,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Axis Bank Pvt Ltd,Mohali,2026-09-12,https://apna.co/job/mohali/business-development-executive-559922808,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Mohali | Salary: ₹15,000 - ₹18,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Representative - Medical Devices (Soft Tissue Implant),India Medtronic Pvt. Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/territory-manager-soft-tissue-implants-sti-1295780755,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,SND Digital Private Limited,"Nehru Nagar, Delhi-NCR",2026-09-12,https://apna.co/job/delhi-ncr/business-development-executive-267864225,https://www.snddigital.com,,"Company: SND Digital Private Limited | Location: Nehru Nagar, Delhi-NCR | Salary: ₹15,000 - ₹40,000 | Tags: Work from Office, Full Time, Min. 1 year, Good (Intermediate / Advanced) English",Apna
Medical Device Sales Representative,India Medtronic Pvt. Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-representative-ii-soft-tissue-implant-1606233052,https://www.medtronic.com,,"Company: India Medtronic Pvt. Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,North  Star Academy,"Adugodi, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-567971760,https://www.northstaracademy.in,,"Company: North  Star Academy | Location: Adugodi, Bengaluru/Bangalore | Salary: ₹15,000 - ₹30,000 | Tags: Work from Office, Full Time, Min. 6 months, Good (Intermediate / Advanced) English",Apna
Pharmaceutical Sales Representative - Specialty Dermatology,Novartis India,Chandigarh,2026-09-12,https://apna.co/job/chandigarh/sales-rep-territory-business-executive-1987546328,https://www.novartis.com,,"Company: Novartis India | Location: Chandigarh | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Mohini Enterprises,Pimpri-Chinchwad,2026-09-12,https://apna.co/job/pimpri-chinchwad/business-development-executive-121527066,https://www.mohini.com,,"Company: Mohini Enterprises | Location: Pimpri-Chinchwad | Salary: ₹24,000 - ₹27,000 | Tags: Field Job, Full Time, Min. 1 year, Basic English",Apna
Business Development Representative,Groen Research Solutions Pvt. Ltd.,"Koramangala, Bengaluru/Bangalore Region",2026-09-12,https://apna.co/job/bengaluru-bangalore-region/business-development-representative-291160278,N/A,,"Company: Groen Research Solutions Pvt. Ltd. | Location: Koramangala, Bengaluru/Bangalore Region | Salary: ₹20,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, No English Required",Apna
Business Development Executive,Earlyjobs,"Koramangala, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-667632769,https://www.earlyjobs.in,,"Company: Earlyjobs | Location: Koramangala, Bengaluru/Bangalore | Salary: ₹17,000 - ₹33,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Executive,Think Hygiene Solutions,"Thaltej, Ahmedabad",2026-09-12,https://apna.co/job/ahmedabad/business-development-executive-980865025,https://www.thinkhygiene.com,,"Company: Think Hygiene Solutions | Location: Thaltej, Ahmedabad | Salary: ₹22,000 - ₹30,000 | Tags: Field Job, Full Time, Any experience, Basic English",Apna
Business Development Executive,Blue Chip Computer Consultants Pvt Ltd,"Bommenahalli, Bengaluru/Bangalore Region",2026-09-12,https://apna.co/job/bengaluru-bangalore-region/business-development-executive-304739072,N/A,,"Company: Blue Chip Computer Consultants Pvt Ltd | Location: Bommenahalli, Bengaluru/Bangalore Region | Salary: ₹25,000 - ₹25,000 | Tags: Work from Office, Full Time, Freshers only, Good (Intermediate / Advanced) English",Apna
Business Development Executive,SAS Sales Group,"Ashok Nagar, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-521912664,https://www.sassales.net,,"Company: SAS Sales Group | Location: Ashok Nagar, Bengaluru/Bangalore | Salary: ₹35,000 - ₹50,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Business Development Executive,Ornsoar Consultancy Services Private Limited,"Teynampet, Chennai",2026-09-12,https://apna.co/job/chennai/business-development-executive-236528650,N/A,,"Company: Ornsoar Consultancy Services Private Limited | Location: Teynampet, Chennai | Salary: ₹15,000 - ₹20,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Representative,Mastercard India Services Pvt Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/lead-generation-specialist-apac-eemea-1187467528,N/A,,"Company: Mastercard India Services Pvt Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Axis Bank Pvt Ltd,"Kabirpur Village, Sonipat",2026-09-12,https://apna.co/job/sonipat/business-development-executive-615279500,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Kabirpur Village, Sonipat | Salary: ₹16,000 - ₹18,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Business Development Executive,Finlight Research India,"BTM Layout, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-844204104,https://www.finlightresearch.com,,"Company: Finlight Research India | Location: BTM Layout, Bengaluru/Bangalore | Salary: ₹20,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Business Development Executive,Nirmala Solar Power Generation Private Limited,Gorakhpur,2026-09-12,https://apna.co/job/gorakhpur/business-development-executive-822568861,N/A,,"Company: Nirmala Solar Power Generation Private Limited | Location: Gorakhpur | Salary: ₹10,000 - ₹20,000 | Tags: Field Job, Full Time, Any experience, Basic English",Apna
Business Development Executive,Mohini Enterprises,"New Tippasandra, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-executive-157451593,https://www.mohini.com,,"Company: Mohini Enterprises | Location: New Tippasandra, Bengaluru/Bangalore | Salary: ₹25,000 - ₹35,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Business Proposal Representative,Oracle India Private Limited,Pune,2026-09-12,https://apna.co/job/pune/business-proposal-rep-4-1077306604,https://www.oracle.com,,"Company: Oracle India Private Limited | Location: Pune | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Executive,Tegh Cables (India) Private Limited,Ahmedabad,2026-09-12,https://apna.co/job/ahmedabad/business-development-executive-52886619,https://www.teghcables.com,,"Company: Tegh Cables (India) Private Limited | Location: Ahmedabad | Salary: ₹20,000 - ₹50,000 | Tags: Field Job, Full Time, Min. 1 year, Good (Intermediate / Advanced) English",Apna
