Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Inside Sales Representative,Signellent Technologies,"Mumbai,Noida",12/09/2026,https://www.instahyre.com/job-438222-inside-sales-representative-at-signellent-technologies-mumbai-noida/,https://www.signellent.com,Actively Hiring,"Company: Signellent Technologies | Responsibilities: Handle inbound calls, emails, and online queries from existing and prospective customers professionally and promptly. Understand customer requirements related to networking, cybersecurity, voice and video, and ELV solutions and coordinate with technical/pre-sales teams for accurate responses. Prepare, send, and track sales quotations and proposals using Zoho CRM. Maintain and update all leads, opportunities, and deal stages accurately within Zoho CRM on a daily basis. Conduct regular follow-ups via calls and emails on active opportunities to ensure timely deal progression. Assist the field sales team by tracking deals in the pipeline and providing timely reminders and status updates. Coordinate with vendors and internal teams (pre-sales, logistics, accounts) for order fulfilment and delivery updates. Generate and share weekly CRM reports on open opportunities, follow-up due dates, deal stages, and closure forecasts. Build and maintai",Instahyre
Sales Development Representative (Founding Team),xPay,Bangalore,12/09/2026,https://www.instahyre.com/job-429827-sales-development-representative-founding-team-at-xpay-bangalore/,https://www.xpay.co,Actively Hiring,"Company: xPay | Skills: Sales, Business Development, Telecalling, Corporate Sales, Direct Sales, International Sales, Customer Service, Payment Solutions, Enterprise Software | Target: Sales Development Representative (Founding Team)",Instahyre
IT Inside Sales Representative,Signellent Technologies,Mumbai,12/09/2026,https://www.instahyre.com/job-438423-it-inside-sales-representative-at-signellent-technologies-mumbai/,https://www.signellent.com,Actively Hiring,"Company: Signellent Technologies | Skills: IT Infrastructure, Information Security, Presales, Sales | Target: IT Inside Sales Representative",Instahyre
Business Development Representative,Recruiterflow,Bangalore,12/09/2026,https://www.instahyre.com/job-439786-business-development-representative-at-recruiterflow-bangalore/,https://www.recruiterflow.com,Actively Hiring,"Company: Recruiterflow | Skills: Business Development, International Sales, Sales, Telecalling | Target: Business Development Representative",Instahyre
Business Development Representative,Gumlet,Bangalore,12/09/2026,https://www.instahyre.com/job-441580-business-development-representative-at-gumlet-bangalore/,https://www.gumlet.com,Actively Hiring,"Company: Gumlet | Responsibilities: Own outbound prospecting across email, LinkedIn, and calls. Craft highly personalised, strategic messaging for target accounts. Prospect into new accounts using structured sales methodologies and book meetings for Account Executives. Partner with Marketing to execute outbound and ABM campaigns. Maintain clean CRM data and pipeline hygiene. Contribute to playbooks, messaging, and outbound strategy. Requirements: 2-3 years of BDR/SDR experience (SaaS preferred). Experience working with the India and Middle East markets. Strong outbound prospecting experience. Ability to operate in a fast-paced, high-performance environment. Excellent communication and personalisation skills. High ownership, urgency, and a builder mindset. Proven track record of hitting or exceeding targets. Possess at least a BE/BTech or equivalent degree. 3+ years of prior experience with a proven success track record in deal closure roles in a target-driven environment, ideally in CR",Instahyre
Business Development Representative,PineGap.ai,Bangalore,12/09/2026,https://www.instahyre.com/job-437902-business-development-representative-at-pinegap-bangalore/,https://pinegap.ai,Actively Hiring,"Company: PineGap.ai | Responsibilities: Drive high-volume outbound prospecting through cold calls, emails, LinkedIn, and other relevant channels. Identify, research, and engage potential customers within the target market. Build and maintain a strong pipeline of qualified prospects. Generate, qualify, and convert prospects into qualified business opportunities. Conduct detailed account and prospect research to create personalised outreach strategies. Handle initial prospect conversations and effectively communicate the value proposition. Manage objections and identify potential opportunities. Collaborate closely with Account Executives and the wider sales team to ensure smooth handover of qualified opportunities. Consistently achieve outbound activity, meeting-generation, and pipeline targets. Maintain accurate prospect and pipeline information in the CRM. Requirements: 1-3 years of relevant experience as a BDR, SDR, or in outbound business development. Strong and recent experience in ",Instahyre
Business Development Representative,PineGap.ai,Bangalore,12/09/2026,https://www.instahyre.com/job-438581-business-development-representative-at-pinegap-bangalore/,https://pinegap.ai,Actively Hiring,"Company: PineGap.ai | We are looking for a driven and target-oriented Business Development Representative (BDR) with strong, recent experience in outbound sales and business development. You will be responsible for identifying potential customers, initiating conversations through multiple outbound channels, generating qualified meetings, and building a strong sales pipeline for the Account Executive team. This is a predominantly outbound role. Responsibilities: Drive high-volume outbound prospecting through cold calls, emails, LinkedIn, and other relevant channels. Identify, research, and engage potential customers within the target market. Build and maintain a strong pipeline of qualified prospects. Generate, qualify, and convert prospects into qualified business opportunities. Conduct detailed account and prospect research to create personalized outreach strategies. Handle initial prospect conversations and effectively communicate the value proposition. Manage objections and identify",Instahyre
Business Development Representative,Pidge,Work From Home,12/09/2026,https://www.instahyre.com/job-437717-business-development-representative-at-pidge-work-from-home/,https://www.pidge.in,Actively Hiring,"Company: Pidge | Skills: Apollo, HubSpot, Salesforce, Zoho, lead generation, sales | Target: Business Development Representative",Instahyre
Business Development Representative,Nected,Work From Home,12/09/2026,https://www.instahyre.com/job-436264-business-development-representative-at-nected-work-from-home/,https://www.nected.io,Actively Hiring,"Company: Nected | Skills: Business Development, Business Process Management (BPM), Corporate Sales, Sales, Salesforce | Target: Business Development Representative",Instahyre
Business Development Representative,Gsoft Cloud,Kochi,12/09/2026,https://www.instahyre.com/job-435327-business-development-representative-at-gsoft-cloud-kochi/,https://www.gsoftcomm.net,Actively Hiring,"Company: Gsoft Cloud | Skills: Presales, Business Development, AWS, Azure, Lead Generation | Target: Business Development Representative",Instahyre
